John Smith,123 Main Street Chicago IL 60601,555-123-4567,john.smith@email.com,123-45-6789,1985-03-15,Diabetes Type 2,Metformin 500mg
Maria Garcia,456 Oak Avenue Los Angeles CA 90001,555-234-5678,maria.garcia@gmail.com,234-56-7890,1990-07-22,Hypertension,Lisinopril 10mg
Hans Mueller,Berliner Straße 78 Berlin 10115,+49 30 12345678,hans.mueller@web.de,DE89370400440532013000,1978-11-30,Asthma,Salbutamol
Pierre Dubois,15 Rue de la Paix Paris 75002,+33 1 23 45 67 89,pierre.dubois@orange.fr,1 85 12 75 123 456 78,1982-05-18,Arthritis,Ibuprofen 400mg
Sofia Rossi,Via Roma 42 Milano 20121,+39 02 1234567,sofia.rossi@libero.it,RSSSFO82A41F205X,1982-01-01,Migraine,Sumatriptan
Carlos Silva,Av Paulista 1000 São Paulo 01310-100,+55 11 98765-4321,carlos.silva@uol.com.br,123.456.789-00,1975-09-25,Depression,Sertraline 50mg
Emma Johnson,789 Queen Street Toronto ON M5H 2N2,416-555-0123,emma.johnson@outlook.com,046 454 286,1988-12-10,Anxiety,Alprazolam
Liu Wei,北京市朝阳区建国路88号,+86 10 8765 4321,liu.wei@163.com,110101198501011234,1985-01-01,Gastritis,Omeprazole
Yuki Tanaka,東京都渋谷区神南1-2-3,+81 3 1234 5678,yuki.tanaka@docomo.ne.jp,1234-5678-9012,1992-04-15,Eczema,Hydrocortisone
Ahmed Hassan,15 شارع التحرير القاهرة,+20 2 2345 6789,ahmed.hassan@gmail.com,28501011234567,1985-01-01,Bronchitis,Amoxicillin
Isabella Martinez,Calle Mayor 25 Madrid 28013,+34 91 123 4567,isabella.martinez@telefonica.es,12345678Z,1979-06-08,Hypothyroidism,Levothyroxine
Olga Petrova,Тверская улица 15 Москва 125009,+7 495 123 4567,olga.petrova@mail.ru,4510 123456,1983-02-28,Anemia,Ferrous sulfate
James Wilson,45 George Street Sydney NSW 2000,+61 2 9876 5432,james.wilson@bigpond.com,123 456 789,1976-08-14,Gout,Allopurinol
Fatima Al-Rashid,شارع الملك فهد الرياض 12345,+966 11 234 5678,fatima.alrashid@hotmail.com,1087654321,1991-03-20,Fibromyalgia,Pregabalin
Chen Xiaoming,上海市浦东新区陆家嘴环路1000号,+86 21 6543 2100,chen.xiaoming@qq.com,310101199203151234,1992-03-15,Insomnia,Zolpidem
Anna Kowalski,ul. Marszałkowska 100 Warszawa 00-001,+48 22 123 4567,anna.kowalski@wp.pl,92030512345,1992-03-05,Psoriasis,Methotrexate
Mohammed Ali,14 Corniche Road Abu Dhabi,+971 2 123 4567,mohammed.ali@emirates.net.ae,784-1985-1234567-1,1985-07-12,COPD,Tiotropium
Sarah O'Brien,12 Grafton Street Dublin D02 VF89,+353 1 234 5678,sarah.obrien@eircom.net,1234567T,1987-10-25,Celiac Disease,Gluten-free diet
Kim Min-Jun,서울특별시 강남구 테헤란로 152,+82 2 1234 5678,kim.minjun@naver.com,850101-1234567,1985-01-01,Hepatitis B,Entecavir
Nina Andersen,Strøget 55 København 1157,+45 33 12 34 56,nina.andersen@mail.dk,010185-1234,1985-01-01,Osteoporosis,Alendronate
Robert Brown,567 Fifth Avenue New York NY 10017,212-555-7890,robert.brown@yahoo.com,456-78-9012,1972-04-30,Coronary Artery Disease,Atorvastatin 40mg
Luisa Fernandez,Carrera 7 No 32-16 Bogotá,+57 1 234 5678,luisa.fernandez@hotmail.com,1234567890,1989-11-11,Lupus,Hydroxychloroquine
Hiroshi Yamamoto,大阪府大阪市北区梅田1-1-1,+81 6 9876 5432,hiroshi.yamamoto@yahoo.co.jp,9876-5432-1098,1980-06-20,Parkinson Disease,Levodopa
Anja Schmidt,Hauptstraße 45 München 80331,+49 89 9876543,anja.schmidt@gmx.de,DE12500105170648489890,1986-09-15,Multiple Sclerosis,Interferon beta
Patrick Murphy,25 O'Connell Street Cork T12 X8Y9,+353 21 456 7890,patrick.murphy@gmail.com,9876543W,1974-12-05,Rheumatoid Arthritis,Methotrexate
Wei Zhang,广州市天河区天河路385号,+86 20 8765 4321,wei.zhang@sina.com,440106198808081234,1988-08-08,Chronic Kidney Disease,Erythropoietin
Marta Nowak,ul. Floriańska 25 Kraków 31-019,+48 12 345 6789,marta.nowak@onet.pl,88121512345,1988-12-15,Endometriosis,Dienogest
Alessandro Bianchi,Piazza del Duomo 1 Firenze 50122,+39 055 1234567,alessandro.bianchi@tin.it,BNCLSN85M15D612X,1985-08-15,Sleep Apnea,CPAP therapy
Laura Sánchez,Paseo de la Castellana 200 Madrid 28046,+34 91 987 6543,laura.sanchez@gmail.com,87654321X,1983-07-22,Bipolar Disorder,Lithium
Erik Johansson,Kungsgatan 10 Stockholm 111 43,+46 8 123 4567,erik.johansson@telia.se,850615-1234,1985-06-15,Crohn Disease,Infliximab
Priya Sharma,MG Road Bangalore 560001,+91 80 2345 6789,priya.sharma@rediffmail.com,ABCDE1234F,1990-02-14,Polycystic Ovary Syndrome,Metformin
David Cohen,Dizengoff Street 100 Tel Aviv 6433201,+972 3 123 4567,david.cohen@walla.co.il,012345678,1977-05-08,Ulcerative Colitis,Mesalamine
Nguyen Thi Lan,123 Nguyen Hue Ho Chi Minh City,+84 28 1234 5678,nguyen.lan@gmail.com,012345678901,1993-04-25,Thalassemia,Blood transfusion
Rachel Thompson,34 High Street Edinburgh EH1 1TB,+44 131 234 5678,rachel.thompson@btinternet.com,AB123456C,1984-01-30,Graves Disease,Methimazole
Omar Farouk,25 Avenue Mohammed V Casablanca 20000,+212 522 123456,omar.farouk@menara.ma,AB123456,1981-09-18,Vitiligo,Tacrolimus
Julia Santos,Rua Augusta 1500 São Paulo 01305-100,+55 11 3456-7890,julia.santos@globo.com,987.654.321-00,1994-06-30,Attention Deficit Disorder,Methylphenidate
Takeshi Suzuki,福岡県福岡市博多区博多駅前2-1-1,+81 92 123 4567,takeshi.suzuki@softbank.ne.jp,5678-9012-3456,1978-03-12,Chronic Fatigue Syndrome,Modafinil
Eva Müller,Bahnhofstrasse 20 Zürich 8001,+41 44 123 4567,eva.mueller@bluewin.ch,756.1234.5678.90,1986-11-28,Interstitial Cystitis,Pentosan
Andreas Christou,Makarios Avenue 50 Nicosia 1065,+357 22 123456,andreas.christou@cytanet.com.cy,1234567,1979-08-05,Peripheral Neuropathy,Gabapentin
Ingrid Larsen,Karl Johans gate 25 Oslo 0159,+47 22 12 34 56,ingrid.larsen@online.no,01018512345,1985-01-01,Meniere Disease,Betahistine
Michael O'Connor,15 Baggot Street Dublin D04 T2H1,+353 1 876 5432,michael.oconnor@gmail.com,2345678R,1970-07-17,Atrial Fibrillation,Warfarin
Kenji Watanabe,名古屋市中区栄3-1-1,+81 52 234 5678,kenji.watanabe@ezweb.ne.jp,2345-6789-0123,1982-10-10,Narcolepsy,Sodium oxybate
Svetlana Ivanova,Невский проспект 100 Санкт-Петербург 191025,+7 812 234 5678,svetlana.ivanova@yandex.ru,4511 234567,1988-05-20,Scleroderma,Mycophenolate
Francesco Romano,Via Nazionale 50 Roma 00184,+39 06 9876543,francesco.romano@virgilio.it,RMNFNC75A15H501X,1975-01-15,Hemophilia,Factor VIII
Mei Lin,深圳市南山区科技园路1号,+86 755 8765 4321,mei.lin@126.com,440305199106151234,1991-06-15,Epilepsy,Valproate
Pedro Almeida,Av da Liberdade 200 Lisboa 1250-147,+351 21 123 4567,pedro.almeida@sapo.pt,12345678 9 ZY0,1973-12-01,Myasthenia Gravis,Pyridostigmine
Sven Nielsen,Strøget 100 Aarhus 8000,+45 86 12 34 56,sven.nielsen@jubii.dk,151285-1234,1985-12-15,Tourette Syndrome,Haloperidol
